ticker;scenario;entry_date;entry_price;exit_date;exit_price;exit_reason;return_pct;max_drawdown_pct;holding_weeks;score;fib_retracement;stop_price;target_1618;target_2618;hit_target_1;hit_target_2;weeks_to_target_1;max_favorable_excursion;precio_punto0;precio_puntoC;bolsa;ratio_volumen;pct_sobre_linea;close_strength;weeks_since_c;w1_duration;w2_duration;avg_volume_w2
ASML.AS;C;2019-01-21;143.312;2020-01-20;255.144;TIMEOUT;0.7803;-0.0294;52;63;0.4891;227.9695;303.0129;415.6635;False;False;;0.8076;63.1953;120.7444;AS;1.3642;0.1116;0.9871;3;152;23;7427844.043478261
LRCX;C;2019-01-21;15.0636;2020-01-20;28.5005;TIMEOUT;0.892;-0.0392;52;70;0.5869;25.9141;34.1892;48.4204;False;False;;0.9549;5.2836;11.1632;US;1.7405;0.0595;0.9548;4;113;57;159788807.01754385
URI;C;2019-01-21;122.5099;2020-01-20;145.9895;TIMEOUT;0.1917;-0.1993;52;56;0.433;122.5099;234.6525;323.5843;False;False;;0.3362;40.336;90.7609;US;1.7329;0.0307;0.9706;4;55;95;7237812.631578947
ATCO-A.ST;A;2019-01-28;52.3483;2020-01-27;76.3547;TIMEOUT;0.4586;-0.0134;52;57;0.489;25.3307;103.7943;140.6491;False;False;;0.7025;25.3307;44.1634;ST;1.4644;0.183;0.6694;10;123;23;40578603.82608695
CL;A;2019-01-28;54.465;2020-01-27;63.3004;TIMEOUT;0.1622;-0.0085;52;64;0.6468;39.2578;86.6272;110.6577;False;False;;0.1889;39.2578;47.7458;US;1.4205;0.0111;0.9452;13;126;40;20078782.5
HPE;A;2019-01-28;12.4514;2020-01-27;11.3944;TIMEOUT;-0.0849;-0.1899;52;67;0.548;5.0793;25.7455;35.729;False;False;;0.1468;5.0793;9.5921;US;1.4524;0.3024;0.7848;5;111;42;54508164.28571428
ATCO-A.ST;B;2019-01-28;52.3483;2020-01-27;76.3547;TIMEOUT;0.4586;-0.0134;52;57;0.489;44.1634;103.7943;140.6491;False;False;;0.7025;25.3307;44.1634;ST;1.4644;0.183;0.6694;10;123;23;40578603.82608695
CL;B;2019-01-28;54.465;2020-01-27;63.3004;TIMEOUT;0.1622;-0.0085;52;64;0.6468;47.7458;86.6272;110.6577;False;False;;0.1889;39.2578;47.7458;US;1.4205;0.0111;0.9452;13;126;40;20078782.5
HPE;B;2019-01-28;12.4514;2020-01-27;11.3944;TIMEOUT;-0.0849;-0.1899;52;67;0.548;9.5921;25.7455;35.729;False;False;;0.1468;5.0793;9.5921;US;1.4524;0.3024;0.7848;5;111;42;54508164.28571428
ATCO-A.ST;C;2019-01-28;52.3483;2020-01-27;78.4302;STOP_C_P3;0.4982;-0.0134;52;57;0.489;78.4302;103.7943;140.6491;False;False;;0.7025;25.3307;44.1634;ST;1.4644;0.183;0.6694;10;123;23;40578603.82608695
